Month,Groceries_Perishables,Financial_Services,Restaurants_Dining,Consumer_Durables,Transport,Automotive,Clothing,Hardware,Entertainment,Accommodation,Government_Services,Professional_Services,Health,Utilities,Electrical_Goods,Education,Memberships,Agricultural,Construction_Services,Charity,Office_Equipment
Oct-22,1215003,962980,474649,459488,360811,388727,347430,306436,212612,216079,176520,164341,149706,141612,92380,84481,59285,38235,31488,17667,9888
Nov-22,1272246,984614,454486,625625,361449,405186,455405,358704,221512,211078,226978,176074,159563,126694,136641,57050,60840,39096,34615,21232,12327
Dec-22,1536054,1027666,544015,750082,322984,372955,548410,294877,227779,221917,193891,186516,127456,141769,128468,42681,60281,39057,25321,24305,12299
Jan-23,1171473,1043015,433073,394154,516581,399081,290498,276632,204334,217189,215114,163736,155322,135134,94066,101647,81162,37671,25875,17495,10247
Feb-23,1128051,981128,444614,365399,439266,380252,261496,253516,207043,209028,162778,149216,151058,136446,78268,64021,73581,42162,30090,27467,8412
Mar-23,1451410,1189852,621182,478865,581340,454991,349368,308916,300768,266423,213334,187071,189752,158057,96895,61672,83961,60518,37121,21688,10055
Apr-23,1405642,1119206,656880,479758,572327,434299,377520,314355,293109,286235,181865,179988,161521,148435,92469,52053,71552,60310,30281,20808,8865
May-23,1552035,1235005,679218,555377,666745,466951,423636,367459,285246,295542,193579,198602,205544,171377,102636,66386,77245,66802,38261,22185,9779
Jun-23,1533884,1261762,723098,547001,667628,438731,425015,337072,276205,320559,188087,192105,179510,167028,103976,59144,71112,58402,37040,18992,9800
Jul-23,1503861,1307125,774076,560454,665716,456314,408185,337146,359068,349606,182036,192826,171196,172005,108709,50723,72549,56721,33586,17342,11290
Aug-23,1495725,1309638,756463,567171,622798,473022,411216,334666,312697,338567,175422,215870,180104,166165,111760,126824,79131,62269,34973,20006,15509
Sep-23,1474187,1230517,674511,514208,570445,465777,359547,320348,288269,276379,170918,195881,178032,168495,117209,207532,75684,66223,36682,22412,13106
Oct-23,1556596,1288507,713502,575215,562762,487830,416723,329529,291975,266578,220307,199500,183961,175987,124536,101483,76093,81576,37870,24620,11907
Nov-23,1596634,1347128,647725,747234,534014,481676,550247,388892,319543,244854,267075,216978,202055,184217,180612,71545,73958,82175,38842,28470,14477
Dec-23,1864645,1373748,804800,920036,476648,447252,656281,321435,330095,266266,220943,220304,149971,171264,164032,52993,74709,75928,29444,31506,14460
Jan-24,1436017,1553352,605187,490587,677405,465557,350732,286681,278584,245329,246273,189303,183315,167351,120225,117907,95908,68831,27807,21964,11004
